Employer_No,Effective_From,Effective_To,Status,Tier
100269,2002-06-29,2016-05-23,Open,3
100269,2016-05-24,2018-11-02,Open,3
100269,2018-11-03,2018-11-04,Open,3
100269,2018-11-05,2018-11-13,Open,3
100269,2018-11-14,2018-11-21,Open,3
100269,2018-11-22,2018-11-26,Open,3
100269,2018-11-27,2018-11-28,Open,3
100269,2018-11-29,2018-12-17,Open,3
100269,2018-12-18,2018-12-20,Open,3
100269,2018-12-21,9999-12-31,Open,3
100318,2002-12-16,2016-05-23,Open,4
100318,2016-05-24,2018-11-02,Open,4
100318,2018-11-03,2018-11-04,Open,4
100318,2018-11-05,2018-11-13,Open,4
100318,2018-11-14,2018-11-21,Open,4
100318,2018-11-22,2018-11-26,Open,4
100318,2018-11-27,2018-11-28,Open,4
100318,2018-11-29,2018-12-17,Open,4
100318,2018-12-18,2018-12-20,Open,4
100318,2018-12-21,9999-12-31,Open,4
100348,2003-08-04,2003-09-05,Open,3
100348,2003-09-06,2016-05-23,Open,3
100348,2016-05-24,2018-11-02,Open,3
100348,2018-11-03,2018-11-04,Open,3
100348,2018-11-05,2018-11-13,Open,3
100348,2018-11-14,2018-11-21,Open,3
100348,2018-11-22,2018-11-26,Open,3
100348,2018-11-27,2018-11-28,Open,3
100348,2018-11-29,2018-12-17,Open,3
100348,2018-12-18,2018-12-20,Open,3
100348,2018-12-21,9999-12-31,Open,3
100900,2006-02-25,2006-08-18,Open,4
100900,2006-08-19,2016-05-23,Open,4
100900,2016-05-24,9999-12-31,Open,4
100508,2006-05-27,2006-06-30,Open,4
100508,2006-07-01,2016-05-23,Open,4
100508,2016-05-24,2018-11-02,Open,4
100508,2018-11-03,2018-11-04,Open,4
100508,2018-11-05,2018-11-13,Open,4
100508,2018-11-14,2018-11-21,Open,4
100508,2018-11-22,2018-11-26,Open,4
100508,2018-11-27,2018-11-28,Open,4
100508,2018-11-29,2018-12-17,Open,4
100508,2018-12-18,2018-12-20,Open,4
100508,2018-12-21,9999-12-31,Open,4
100251,1985-01-01,2016-05-23,Open,4
100251,2016-05-24,9999-12-31,Open,4
100306,2007-01-27,2016-05-23,Open,4
100306,2016-05-24,2018-11-02,Open,4
100306,2018-11-03,2018-11-04,Open,4
100306,2018-11-05,2018-11-13,Open,4
100306,2018-11-14,2018-11-21,Open,4
100306,2018-11-22,2018-11-26,Open,4
100306,2018-11-27,2018-11-28,Open,4
100306,2018-11-29,2018-12-17,Open,4
100306,2018-12-18,2018-12-20,Open,4
100306,2018-12-21,9999-12-31,Open,4
100250,2007-04-28,2016-05-23,Open,4
100250,2016-05-24,2018-11-02,Open,4
100250,2018-11-03,2018-11-04,Open,4
100250,2018-11-05,2018-11-13,Open,4
100250,2018-11-14,2018-11-21,Open,4
100250,2018-11-22,2018-11-26,Open,4
100250,2018-11-27,2018-11-28,Open,4
100250,2018-11-29,2018-12-17,Open,4
100250,2018-12-18,2018-12-20,Open,4
100250,2018-12-21,9999-12-31,Open,4
100708,2007-10-27,2008-10-03,Open,4
100708,2008-10-04,2008-12-19,Open,4
100708,2008-12-20,2009-12-04,Open,4
100708,2009-12-05,2010-12-24,Open,4
100708,2010-12-25,2013-09-27,Open,4
100708,2013-09-28,2014-03-07,Open,4
100708,2014-03-08,2016-05-23,Open,4
100708,2016-05-24,9999-12-31,Open,4
100168,2008-09-04,2016-05-23,Open,3
100168,2016-05-24,2018-11-02,Open,3
100168,2018-11-03,2018-11-04,Open,3
100168,2018-11-05,2018-11-13,Open,3
