Employer_No,Cash_Received_Date,Total_Amt
100951,6/08/2018,2000
100029,26/09/2018,1539.47
100807,15/10/2018,430
100130,3/01/2019,942.05
100147,6/11/2018,525.7
100635,15/11/2018,2656.54
100745,26/10/2018,2177.8
100996,21/09/2017,141.56
100635,26/06/2018,2788.7
100073,6/07/2017,92.63
100073,6/07/2017,92.63
100073,6/07/2017,92.63
100073,6/07/2017,92.63
100073,6/07/2017,92.63
100073,6/07/2017,92.63
100073,6/07/2017,92.63
100184,31/07/2018,6477.39
100253,27/06/2018,640
100951,3/07/2018,2000
100029,26/09/2018,1469.08
100184,30/08/2018,8778.64
100582,4/09/2018,1192.29
100825,3/07/2017,3470.31
100526,3/05/2018,804.01
100807,8/05/2018,5153.5
100062,23/07/2018,5935.17
100807,26/07/2017,5460
100807,26/07/2017,1365
100029,15/06/2018,1231.63
100745,1/05/2018,2114.16
100635,25/05/2018,2001.28
100676,5/07/2018,104.22
100351,15/05/2018,1832.38
100184,3/01/2018,6147.2
100635,2/07/2018,1714.18
100029,19/03/2018,1231.58
100745,8/03/2018,2100.82
100130,2/05/2018,688.2
100277,26/02/2018,155.04
100635,17/04/2018,2139.92
100029,25/10/2017,1494.35
100880,5/07/2017,686.32
100184,29/11/2018,803.84
100281,18/07/2017,1958.9
100029,15/06/2018,1231.63
100745,21/08/2017,3140.43
100351,15/08/2017,1559.52
100253,12/09/2017,640
100951,5/04/2018,2000
100364,14/05/2018,634.6
100672,30/04/2018,400
100583,12/06/2018,731.5
100526,4/06/2018,825.82
100253,27/06/2018,640
100277,25/04/2018,155.04
100338,23/01/2018,2166
100147,6/07/2018,350.42
100343,3/07/2018,787.24
100825,24/10/2018,3470.31
100338,30/10/2018,1586.5
100184,30/10/2018,7046.59
100147,10/10/2018,350.43
100351,26/10/2018,1927.76
100807,19/07/2017,975
100184,2/10/2017,7278.86
100253,12/09/2017,640
100807,19/07/2017,3900
100338,20/07/2017,902.5
100062,30/04/2018,5855.22
100676,4/06/2018,122.84
100338,30/04/2018,2379.75
100062,24/07/2017,5825.06
100842,8/05/2018,14898.71
100745,16/04/2018,2107.49
100951,6/03/2018,2000
100655,4/07/2017,355.51
100073,6/07/2017,92.63
100951,4/07/2017,2000
100935,2/07/2018,432.25
100935,4/12/2017,458.5
100582,11/04/2018,1144.79
100494,5/07/2018,554.51
100351,3/07/2018,4454.79
100935,2/07/2018,539.12
100672,23/08/2018,400
100583,2/07/2018,760
100582,6/08/2018,1239.79
100526,2/11/2018,370.1
100351,11/09/2018,2548.98
100147,10/09/2018,350.47
100343,14/09/2018,2357.04
100150,27/04/2018,2255.05
100253,19/04/2018,640
100604,2/11/2018,790.98
100604,2/11/2018,794.3
100604,2/11/2018,621.88
100604,2/11/2018,774.36
100604,2/11/2018,739.21
100604,2/11/2018,674.61
100604,2/11/2018,603.83
100604,2/11/2018,250.9
100604,2/11/2018,440.43
100604,2/11/2018,401.71
100604,2/11/2018,368.94
100604,2/11/2018,462.52
100604,2/11/2018,492.21
100604,2/11/2018,427.6
100526,2/11/2018,114
100073,23/10/2018,92.63
100073,23/10/2018,92.63
100073,23/10/2018,92.63
100073,23/10/2018,92.63
100073,23/10/2018,92.63
100073,23/10/2018,92.63
100073,23/10/2018,48.53
100073,23/10/2018,92.63
100073,23/10/2018,48.53
100073,23/10/2018,92.63
100073,23/10/2018,48.53
100073,23/10/2018,92.63
100802,27/12/2018,287.28
100842,10/12/2018,19021.97
100277,26/10/2018,155.04
100046,13/07/2017,1321.61
100526,2/02/2018,915.4
100807,13/11/2018,2274.38
100825,3/05/2018,4771.68
100184,29/08/2017,7301.12
100347,1/09/2017,1315.39
100184,29/05/2018,5665.47
100147,8/01/2019,350.12
100807,7/02/2018,6936.15
100891,5/12/2017,2265.84
100364,15/12/2017,634.6
100745,19/07/2018,3171.24
100130,30/07/2018,727.04
100046,15/08/2018,1446.37
100526,30/08/2018,93.77
100807,22/08/2018,860
100891,22/10/2018,940.42
100556,25/10/2018,595.65
100445,11/04/2018,1945.66
100526,6/04/2018,825.82
100672,15/11/2018,400
100583,5/12/2018,285
100351,13/11/2018,1927.76
100807,24/10/2017,52415.72
100073,25/01/2018,92.63
100073,25/01/2018,92.63
100073,25/01/2018,92.63
100073,25/01/2018,92.63
100073,25/01/2018,92.63
100073,25/01/2018,92.63
100073,25/01/2018,92.63
100842,8/03/2018,16057.22
100967,30/01/2018,855
100130,2/05/2018,688.2
100627,18/06/2018,457.28
100338,2/08/2018,2175.5
100807,26/07/2017,8190
100807,26/07/2017,8775
100807,26/07/2017,1560
100807,26/07/2017,1560
100807,26/07/2017,1560
100445,31/07/2018,1149.65
100967,22/11/2017,681
100891,16/01/2018,1405.28
100582,24/07/2017,950
100364,10/09/2018,793.25
100635,21/08/2018,2001.28
100253,28/09/2018,650
100130,30/07/2018,727.04
100277,27/08/2018,155.04
100556,3/09/2018,795
100807,22/08/2018,645
100046,13/03/2018,922.91
100807,7/05/2018,4595.05
100526,3/12/2018,57
100526,4/06/2018,114.97
100150,24/10/2017,3157.7
100807,19/09/2017,36270
100627,24/12/2018,110.53
100807,22/08/2018,860
100224,25/07/2017,403.35
100672,15/11/2018,400
100583,29/10/2018,142
100277,1/10/2018,155.04
100672,30/04/2018,400
100583,20/03/2018,418
100184,4/04/2018,6557.12
100745,31/08/2017,2100.82
100635,5/10/2017,2473.86
100351,13/09/2017,1949.39
100935,6/09/2017,687.79
100582,7/12/2017,1448.75
100672,18/08/2017,400
100184,31/07/2017,6614.52
100582,25/10/2017,1425
100672,18/08/2017,400
100253,2/08/2017,603.84
100184,29/11/2017,8774.94
100184,29/11/2017,1498.08
100807,14/07/2017,390
100281,6/08/2018,1837.3
100842,8/12/2017,16818.03
100364,13/11/2017,793.25
100494,16/11/2017,553.61
100635,22/11/2017,2001.28
100150,10/10/2018,2255.05
100807,15/10/2018,44720
100253,28/09/2018,650
100802,31/08/2018,179.55
100582,4/07/2018,1239.79
100029,25/10/2017,1195.48
100672,6/11/2017,400
100583,15/11/2017,66.5
100338,18/10/2017,1268.25
100909,13/12/2017,275.74
100582,15/08/2017,1140
100494,26/03/2018,250.89
100351,11/04/2018,1740.04
100253,19/04/2018,640
100364,30/08/2017,580.96
100494,25/08/2017,467.57
100635,22/08/2017,1945.8
100935,6/09/2017,520.11
100582,20/11/2017,1263.54
100672,18/08/2017,400
100364,1/11/2017,634.6
100526,4/07/2018,189.2
100526,6/12/2017,806.34
100526,6/12/2017,13.4
100281,4/05/2018,1339.5
100184,30/01/2018,1498.08
100073,25/01/2018,92.63
100073,25/01/2018,92.63
100073,25/01/2018,92.63
100445,31/07/2018,30922.28
100891,11/05/2018,899.55
100891,19/06/2018,1455.52
100745,1/11/2017,2100.82
100062,17/01/2018,5318.39
100935,2/11/2017,608
100582,20/02/2018,1239.79
100073,2/05/2018,92.63
100073,2/05/2018,92.63
100807,22/11/2017,23185
100526,1/11/2017,780.44
100073,1/11/2017,92.63
100073,1/11/2017,92.63
100073,1/11/2017,92.63
100073,1/11/2017,92.63
100073,1/11/2017,92.63
100073,1/11/2017,92.63
100073,1/11/2017,92.63
100073,1/11/2017,92.63
100073,1/11/2017,92.63
100073,1/11/2017,92.63
100445,27/10/2017,542.59
100445,27/10/2017,3011.64
100445,27/10/2017,15543.85
100445,27/10/2017,1864.59
100445,27/10/2017,370.5
100151,5/12/2018,351.5
100881,21/11/2018,361.69
100881,5/09/2018,1083.99
100076,6/09/2018,3229.8
100083,30/11/2018,870
100705,12/11/2018,998.28
100390,24/10/2017,6385.16
100105,13/12/2017,555.92
100723,7/07/2017,296.9
100922,7/09/2017,1755
100367,5/07/2017,401.03
100044,18/07/2017,590.88
100404,16/01/2018,4004.52
100390,17/04/2018,5890.37
100444,16/10/2018,370.88
100254,4/07/2018,192.8
100390,20/03/2018,5639.48
100390,20/03/2018,208
100505,9/07/2018,429.28
100942,13/07/2018,8200
100408,7/09/2018,160.75
100410,26/07/2018,166.44
100044,17/07/2018,433.2
100444,16/10/2018,422.75
100881,5/09/2018,1083.99
100076,29/08/2018,2776.58
100705,13/09/2018,748.28
100438,31/07/2018,2968.05
100932,5/11/2018,652.33
100432,2/11/2018,275
100254,6/09/2018,503.4
100367,3/09/2018,671.48
100432,2/11/2018,275
100105,30/10/2018,555.92
100932,5/11/2018,652.34
100398,2/11/2018,200.21
100141,3/07/2017,2394
100396,10/04/2018,10275
100297,11/04/2018,386.32
100534,22/06/2018,1935.7
100881,22/05/2018,1428.99
100076,21/05/2018,1635.94
100932,8/08/2018,652
100406,5/06/2018,15172.18
100297,22/01/2018,381.9
100521,12/12/2017,899
100505,11/12/2017,630.97
100297,13/12/2017,474.31
100396,13/12/2017,10275
100705,22/01/2018,1072.85
100406,12/09/2018,2903.58
100390,10/10/2018,5167.1
100705,17/05/2018,748.28
100444,4/06/2018,571.04
100254,9/04/2018,1663.07
100187,16/04/2018,273.6
100141,28/03/2018,1795.5
100505,19/11/2018,422.75
100187,27/11/2018,200.64
100942,12/11/2018,4730
100408,23/11/2018,152.18
100590,25/01/2018,2432.02
100881,11/09/2017,1753.92
100076,1/09/2017,1855.66
100685,25/01/2018,181.75
100438,6/09/2017,2255.21
100534,1/05/2018,1637.9
100061,14/07/2017,256.5
100432,15/09/2017,678
100183,14/08/2017,500
100367,1/02/2018,915.81
100881,22/05/2018,1296.24
100076,21/05/2018,2405.31
100141,19/04/2018,1995
100505,22/08/2017,928.09
100723,4/08/2017,301.45
100532,21/08/2017,426.26
100408,6/10/2017,263.63
100410,17/10/2017,361
100723,4/04/2018,142.43
100590,7/06/2018,1593.56
100942,14/05/2018,4100
100408,16/06/2018,151.83
100410,17/05/2018,166.44
100044,10/05/2018,477.87
100444,16/10/2018,355.68
100410,17/05/2018,624.15
100183,13/11/2017,490
100534,25/01/2018,2398.74
100191,31/12/2018,329.18
100705,13/09/2018,748.28
100141,10/08/2018,1596
100709,27/06/2018,441.75
100405,6/07/2018,20000
100183,17/10/2018,7454
100083,30/11/2018,840
100044,25/10/2018,433.2
100166,8/10/2018,89.78
100183,6/09/2017,5875
100521,25/10/2017,570
100297,11/09/2017,456.04
100396,11/10/2017,11375
100705,13/11/2017,1395.59
100408,6/10/2017,242.38
100410,17/10/2017,361
100507,3/07/2017,919.62
100932,8/09/2017,594.38
100365,7/02/2018,185.28
100367,3/07/2017,1361.87
100367,3/05/2018,548.92
100532,18/05/2018,694.09
100532,21/12/2017,457.43
100105,29/06/2018,555.92
100723,27/06/2018,97.11
100532,18/07/2018,422.17
100396,7/08/2018,1820
100532,18/09/2018,204.98
100166,21/09/2018,82.65
100408,24/05/2018,178.64
100404,29/10/2018,947.82
100105,30/10/2018,555.92
100044,29/11/2018,433.2
100105,7/09/2017,555.92
100404,7/05/2018,1823.97
100297,14/07/2017,359.22
100396,28/08/2017,9100
100705,18/06/2018,748.28
100324,24/04/2018,525.46
100509,8/01/2019,652.12
100324,19/01/2018,515.16
100390,27/12/2017,6193.72
100705,29/03/2018,748.28
100187,9/03/2018,342
100705,11/09/2017,1322.28
100083,9/07/2018,805
100432,12/09/2018,1375
100390,9/07/2018,53.85
100324,3/08/2018,525.46
100254,10/08/2018,117.27
100390,10/10/2018,156.58
100191,29/10/2018,87.64
100532,20/11/2018,221.34
100881,21/11/2018,1446.81
100324,10/07/2017,772.74
100105,6/03/2018,555.92
100083,19/03/2018,780
100183,6/09/2017,950
100404,4/01/2019,1123.39
100404,24/04/2018,1821.68
100390,15/09/2017,7538.11
100367,29/09/2017,649.8
100390,25/01/2018,7781.97
100509,19/01/2018,681.3
100390,9/07/2018,5951.45
100105,7/09/2017,555.92
100404,19/06/2018,1952.09
100394,23/11/2018,157.8
100198,26/07/2018,2074.77
100942,13/08/2018,6665
100044,20/08/2018,433.2
100083,17/09/2018,780
100390,3/09/2018,5395.35
100324,2/03/2018,515.16
100396,6/03/2018,7500
100404,29/10/2018,905.77
100509,9/10/2017,433.37
100404,31/07/2017,2220.76
100390,27/11/2017,436.8
100404,27/11/2017,2275.42
100705,11/12/2017,998.28
100922,26/06/2018,3645
100444,6/03/2018,381.09
100932,8/08/2018,653
100406,4/07/2018,2202.42
100187,26/07/2018,171
100367,2/08/2018,519.84
100705,19/10/2018,864.95
100183,8/03/2018,6080
100105,13/12/2017,555.92
100723,7/09/2017,283.75
100406,1/09/2017,3308.67
100532,21/09/2017,426.43
100432,6/11/2017,678
100396,3/08/2017,11375
100705,11/09/2017,1312.38
100932,8/09/2017,594.38
100365,17/04/2018,222.34
100518,26/07/2017,488.14
100408,8/07/2017,209.95
100410,24/07/2017,451.25
100723,20/03/2018,51.79
100254,6/12/2017,1099.19
100705,19/10/2018,972.85
100932,5/11/2018,652.33
100827,22/11/2018,250.61
100942,12/09/2018,3870
100408,23/11/2018,205.42
100044,13/09/2018,541.5
100254,12/10/2018,604.08
100881,2/11/2017,1403.14
100076,11/10/2017,1872.24
100406,29/09/2017,2704.07
100507,3/07/2017,919.62
100438,1/08/2017,2350.33
100705,17/05/2018,922.85
100408,16/06/2018,223.3
100410,17/05/2018,208.05
100083,19/03/2018,805
100254,21/05/2018,984.83
100187,27/04/2018,273.6
100685,13/10/2017,61.5
100183,14/08/2017,5230
100367,30/08/2017,519.84
100396,4/07/2018,8580
100390,15/08/2018,7311.98
100390,15/08/2018,185.45
100390,3/09/2018,70.57
100367,31/05/2018,468.9
100396,4/07/2018,205
100396,4/07/2018,1820
100404,13/11/2017,2220.76
100138,30/04/2018,6115.62
100390,25/01/2018,201.04
100590,7/06/2018,2175.52
100183,26/03/2018,7010
100105,7/05/2018,555.92
100444,4/06/2018,453.25
100396,7/06/2018,11705
100390,19/06/2018,6504
100390,19/06/2018,914.17
100404,19/06/2018,2727.2
100390,16/05/2018,5365.76
100183,18/10/2017,6000
100521,12/12/2017,728
100297,14/11/2017,365.87
100438,5/02/2018,1703.84
100932,5/03/2018,652.33
100532,21/11/2017,527.06
100404,19/12/2017,2244.18
100396,7/06/2018,205
100404,31/07/2018,1910.65
100406,7/08/2018,2117.19
100324,2/10/2018,651.44
100406,17/10/2018,2604.91
100532,19/10/2018,284.9
100505,13/03/2018,444.13
100105,6/03/2018,555.92
100995,22/10/2018,127.1
100297,9/11/2018,490.31
100396,7/11/2018,11425
100509,8/09/2017,425.26
100505,10/10/2017,421.56
100297,12/10/2017,388.74
100396,12/10/2017,8925
100254,6/11/2017,1270.72
100390,25/09/2017,5812.56
100404,11/04/2018,1796.93
100521,17/04/2018,763
100390,15/09/2017,243.9
100675,6/07/2018,1301.48
100185,10/12/2018,800.84
100185,10/12/2018,433.8
100185,10/12/2018,934.32
100185,10/09/2018,939.03
100185,10/09/2018,1084.45
100185,10/09/2018,403.45
100185,10/09/2018,917.65
100185,8/06/2018,917.65
100185,8/06/2018,917.65
100185,8/06/2018,1218.4
100747,20/09/2018,4784.53
100023,5/09/2018,855
100122,29/11/2018,500
100185,10/09/2018,537.49
100675,21/03/2018,1039.68
100052,16/10/2018,862.68
100722,10/12/2018,2688.96
100692,31/10/2018,1007.52
100122,29/11/2018,500
100185,8/11/2018,917.65
100436,27/07/2017,1492.14
100200,21/06/2018,1330
100722,5/09/2018,2683.98
100240,28/05/2018,533.9
100615,11/07/2018,13316.26
100090,8/06/2018,373.63
100345,30/07/2018,2367.4
100867,28/06/2018,8284.77
100592,3/07/2018,400.42
100937,21/06/2018,1108.34
100867,22/08/2018,8222.72
100975,17/07/2017,1641.6
100023,10/08/2018,684
100122,23/11/2018,500
100185,21/08/2018,734.12
100269,30/08/2018,250
100692,7/08/2018,549.09
100887,28/08/2018,942.4
100516,1/08/2018,538.74
100135,15/08/2018,1634
100887,23/10/2018,824.6
100135,15/10/2018,2041.08
100516,31/10/2018,444.6
100185,21/08/2018,918.39
100185,21/08/2018,974.72
100185,21/08/2018,734.12
100185,21/08/2018,734.12
100185,21/08/2018,734.12
100185,21/08/2018,867.56
100104,3/12/2018,1690.67
100904,31/07/2017,142.5
100185,11/05/2018,734.12
100023,16/05/2018,801
100122,23/05/2018,500
100185,10/05/2018,974.72
100269,4/06/2018,250
100887,23/05/2018,471.2
100516,3/05/2018,556.98
100090,9/05/2018,457.38
100336,26/04/2018,244.3
100657,17/12/2018,190
100240,24/12/2018,421.5
100269,31/12/2018,240
100435,5/12/2018,507.86
100269,27/12/2017,250
100692,1/12/2017,375.87
100615,18/12/2017,13935.83
100516,16/07/2018,932.71
100867,22/08/2018,215.32
100284,10/09/2018,87.21
100023,15/03/2018,822
100722,1/05/2018,2480.86
100692,6/03/2018,422.19
100615,11/04/2018,12439.95
100937,8/05/2018,249.98
100867,26/03/2018,7952.76
100090,9/03/2018,374.83
100407,23/02/2018,500
100200,21/11/2018,874
100135,15/11/2018,760
100937,11/09/2017,554.17
100023,4/09/2017,1075
100675,15/09/2017,957.22
100887,27/07/2017,410.4
100042,1/08/2017,360.66
100345,3/08/2017,2087.85
100122,15/02/2018,500
100185,27/02/2018,4339.12
100747,19/04/2018,4277.08
100023,16/04/2018,1090
100122,6/04/2018,500
100200,30/04/2018,1330
100722,1/05/2018,2311.45
100240,4/04/2018,533.9
100939,3/07/2018,768.77
100749,26/06/2018,2557.08
100121,9/07/2018,6187.16
100752,23/07/2018,692.44
100284,11/08/2017,82.77
100104,31/08/2017,1561.32
100592,8/08/2017,428.64
100747,18/05/2018,4556.56
100065,5/07/2018,10000
100592,10/05/2018,427.12
100937,8/05/2018,1662.51
100867,21/05/2018,11804.03
100675,16/05/2018,576.86
100675,16/05/2018,874.76
100435,4/06/2018,399.64
100380,29/03/2018,350.32
100692,10/07/2018,334.31
100657,2/08/2018,190
100200,12/07/2018,1330
100752,22/10/2018,1884.96
100039,14/09/2018,548.75
100200,6/11/2018,874
100336,5/10/2018,244.3
100035,2/11/2018,1047.68
100975,3/07/2018,1498.08
100039,11/08/2017,1114.25
100122,24/08/2017,500
100185,7/09/2017,834.2
100269,18/09/2017,250
100692,8/09/2017,303.1
100722,7/09/2017,3205.07
100615,8/09/2017,12601.74
100975,7/11/2017,456
100592,5/09/2017,433.01
100975,5/10/2017,623.2
100975,5/10/2017,722
100042,1/05/2018,928
100039,15/03/2018,527.68
100104,3/05/2018,1670.16
100121,12/07/2017,6000.3
100675,22/12/2017,516.99
100722,5/09/2018,2569.61
100615,23/08/2018,11956.84
100294,20/07/2018,1719.5
100853,13/07/2018,535.47
100435,9/11/2018,463.46
100435,29/10/2018,463.47
100284,26/11/2018,49.26
100887,27/11/2018,824.6
